,address,city_district,geo_lat,geo_lon
2305,"город Москва, улица Большая Дмитровка, дом 2",,,
2306,"город Москва, Цветной бульвар, дом 13",,,
2307,"город Москва, улица Большая Дмитровка, дом 6",,,
2308,"город Москва, Сущёвская улица, дом 21",,,
2309,"город Москва, улица Большая Дмитровка, дом 26",Тверской,55.7644566,37.6125115
2310,"город Москва, улица Петровка, дом 3, строение 2",Тверской,55.7611651,37.6181586
2311,"город Москва, Театральная площадь, дом 1",,,
2312,"город Москва, улица Малая Дмитровка, дом 18А, строение 3",Тверской,55.7712785,37.6058363
2313,"город Москва, улица Большая Дмитровка, дом 32, строение 4",Тверской,55.7658008,37.6116401
2314,"город Москва, Неглинная улица, дом 29, строение 1",Тверской,55.7663676,37.6207082
2315,"город Москва, Ленинский проспект, дом 132",Проспект Вернадского,,
2316,"город Москва, Ленинский проспект, дом 156, корпус 2",Тропарево-Никулино,55.6537458,37.4857072
2317,"город Москва, проспект Вернадского, дом 82, строение 1",Тропарево-Никулино,55.6671646,37.4771389
2318,"город Москва, проспект Вернадского, дом 101, корпус 1",Тропарево-Никулино,55.6657946,37.4885144
2319,"город Москва, проспект Вернадского, дом 53",Проспект Вернадского,,
2320,"город Москва, проспект Вернадского, дом 76, корпус В",Троицкий,55.4880979,37.3005116
2321,"город Москва, улица Малая Дмитровка, дом 2, строение 1",Тверской,55.7667832,37.6070775
2322,"город Москва, Делегатская улица, дом 7, строение 1",Тверской,55.7758575,37.6121408
2323,"город Москва, Долгоруковская улица, дом 31, строение 32",Тверской,55.7773793,37.6019176
2324,"город Москва, Театральный проезд, дом 2",,,
2325,"город Москва, проспект Вернадского, дом 39",Проспект Вернадского,,
2326,"город Москва, Мичуринский проспект, дом 40",Раменки,55.6965565,37.4930032
2327,"город Москва, Мосфильмовская улица, дом 21",,,
2328,"город Москва, улица Столетова, дом 3",Раменки,55.7031141,37.5039133
2329,"город Москва, улица Академика Анохина, дом 36",Тропарево-Никулино,55.6583481,37.4672319
2330,"город Москва, улица Академика Анохина, дом 32",,,
2331,"город Москва, 2-й Сетуньский проезд, дом 9",,,
2332,"город Москва, улица Пырьева, дом 11",,,
2333,"город Москва, Большая Очаковская улица, дом 35",,,
2334,"город Москва, улица Коштоянца, дом 2, корпус 1",Проспект Вернадского,55.6813286,37.4919304
2335,"город Москва, улица Пудовкина, дом 4А",,,
2336,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 4, корпус 1",Тропарево-Никулино,55.6763661,37.4705157
2337,"город Москва, Матвеевская улица, дом 34, корпус 2",Очаково-Матвеевское,55.7055861,37.4640035
2338,"город Москва, Большая Очаковская улица, дом 18",,,
2339,"город Москва, Большая Очаковская улица, дом 25",,,
2340,"город Москва, Озёрная улица, дом 27, корпус 2",Очаково-Матвеевское,55.674211,37.4548046
2341,"город Москва, улица Довженко, дом 10",,,
2342,"город Москва, Очаковское шоссе, дом 10, корпус 1",Очаково-Матвеевское,55.6954029,37.4572628
2343,"город Москва, Беломорская улица, дом 40",,,
2344,"город Москва, 1-й Амбулаторный проезд, дом 8, строение 1",Аэропорт,55.8115688,37.5328289
2345,"город Москва, Онежская улица, дом 3",,,
2346,"город Москва, Дубосековская улица, дом 3",Сокол,55.8100094,37.4965098
2347,"город Москва, улица Сальвадора Альенде, дом 6",,,
2348,"город Москва, Песчаный переулок, дом 6",,,
2349,"город Москва, улица Сальвадора Альенде, дом 9",Сокол,55.7942204,37.5068501
2350,"город Москва, Клинская улица, дом 24",Ховрино,55.8717992,37.489899
2351,"город Москва, Клинская улица, дом 22",Ховрино,55.8712564,37.4907343
2352,"город Москва, Флотская улица, дом 64",Головинский,55.8547464,37.5076971
2353,"город Москва, Кронштадтский бульвар, дом 33",Головинский,55.8441332,37.4999043
2354,"город Москва, Ленинградское шоссе, дом 94А",,,
2355,"город Москва, Валдайский проезд, дом 14",Левобережный,55.8682509,37.4685805
2356,"город Москва, Прибрежный проезд, дом 12",,,
2357,"город Москва, улица Врубеля, дом 6",,,
2358,"город Москва, Кронштадтский бульвар, дом 20А, корпус 1",Головинский,55.8432034,37.5095404
2359,"город Москва, Новопесчаная улица, дом 15",,,
2360,"город Москва, улица Усиевича, дом 31А",,,
2361,"город Москва, Фестивальная улица, дом 69",,,
2362,"город Москва, Левобережная улица, дом 6",,,
2363,"город Москва, Михалковская улица, дом 38, строение 6",Головинский,55.8412266,37.5182421
2364,"город Москва, Клинская улица, дом 20",,,
2365,"город Москва, Петрозаводская улица, дом 19А",Ховрино,55.8662055,37.4897063
2366,"город Москва, Фестивальная улица, дом 51",,,
2367,"город Москва, Флотская улица, дом 11",Ховрино,55.8555751,37.5015797
2368,"город Москва, Фестивальная улица, дом 16",,,
2369,"город Москва, Флотская улица, дом 60",Головинский,55.8534363,37.5078955
2370,"город Москва, Авангардная улица, дом 11А",Головинский,55.8480609,37.4857884
2371,"город Москва, Ленинградское шоссе, дом 61, строение 4",Левобережный,55.8589096,37.4671029
2372,"город Москва, Ленинградское шоссе, дом 80, строение 1",Головинский,55.8470882,37.4766657
2373,"город Москва, Валдайский проезд, дом 8",,,
2374,"город Москва, Кронштадтский бульвар, дом 37Г",,,
2375,"город Москва, Ленинградское шоссе, дом 4, строение 1",Сокол,55.811683,37.5062357
2376,"город Москва, площадь Ганецкого, дом 1",,,
2377,"город Москва, улица Зои и Александра Космодемьянских, дом 8А, строение 1",Войковский,55.8190117,37.5050364
2378,"город Москва, Чапаевский переулок, дом 6",,,
2379,"город Москва, Новопесчаная улица, дом 10, строение 1",Сокол,55.7990702,37.5142679
2380,"город Москва, Смольная улица, дом 35, строение 2",Левобережный,55.860584,37.4809206
2381,"город Москва, улица Алабяна, дом 7",Сокол,55.8019232,37.508066
2382,"город Москва, Флотская улица, дом 3",,,
2383,"город Москва, Кронштадтский бульвар, дом 3, строение 3",Головинский,55.8400078,37.4862212
2384,"город Москва, 3-я Подрезковская улица, дом 14, строение 2",Молжаниновский,55.9406644,37.3560143
2385,"город Москва, улица Правды, дом 21, строение 2",Беговой,55.7879619,37.57943
2386,"город Москва, улица Правды, дом 21, строение 1",Беговой,55.7884813,37.5811165
2387,"город Москва, улица Правды, дом 24, строение 8",Беговой,55.7863221,37.583763
2388,"город Москва, улица Юннатов, дом 1",,,
2389,"город Москва, улица Верхняя Масловка, дом 18",Савеловский,55.7946715,37.5627666
2390,"город Москва, 5-я улица Ямского Поля, дом 24",,,
2391,"город Москва, Петровско-Разумовский проезд, дом 29",,,
2392,"город Москва, улица Нижняя Масловка, дом 10",Савеловский,55.7926578,37.5779775
2393,"город Москва, 5-я улица Ямского Поля, дом 19-21, строение 1",Беговой,55.7873251,37.5786526
2394,"город Москва, улица Верхняя Масловка, дом 20, строение 1",Савеловский,55.7959484,37.5622206
2395,"город Москва, переулок Расковой, дом 14А",Беговой,55.7864893,37.5763621
2396,"город Москва, улица Нижняя Масловка, дом 16",Савеловский,55.7922782,37.5734485
