,address,city_area,city_district,geo_lat,geo_lon,street_with_type,location
3059,"город Москва, улица Хамовнический Вал, дом 34",Центральный,Хамовники,55.7219571,37.5635399,ул Хамовнический Вал,
3060,"город Москва, Погодинская улица, дом 1, строение 1",Центральный,Хамовники,55.7341024,37.5720025,ул Погодинская,
3061,"город Москва, Смоленская улица, дом 5",Центральный,Хамовники,55.7452845,37.5804289,ул Смоленская,
3062,"город Москва, улица 10-летия Октября, дом 11",Центральный,Хамовники,55.7253403,37.5637445,ул 10-летия Октября,
3063,"город Москва, улица Знаменка, дом 13, строение 3",Центральный,Хамовники,55.7494892,37.6054781,ул Знаменка,
3064,"город Москва, Комсомольский проспект, дом 28",,Хамовники,,,Комсомольский пр-кт,Хамовники
3065,"город Москва, улица Лужники, дом 24, строение 1",Центральный,Хамовники,55.7157408,37.5537807,ул Лужники,
3066,"город Москва, Пречистенская набережная, дом 1",,Москва,,,Пречистенская наб,Москва
3067,"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718,ул Усачёва,
3068,"город Москва, Усачёва улица, дом 62, строение 2",Центральный,Хамовники,55.724913,37.5618806,ул Усачёва,
3069,"город Москва, улица Пречистенка, дом 21/12, строение 5",Центральный,Хамовники,55.7405898,37.5935672,ул Пречистенка,
3070,"город Москва, улица Пречистенка, дом 20",,Москва,,,ул Пречистенка,Москва
3071,"город Москва, Зубовская улица, дом 5/36",,Хамовники,,,ул Зубовская,Хамовники
3072,"город Москва, улица Бурденко, дом 21А",Центральный,Хамовники,55.7384351,37.5770835,ул Бурденко,
3073,"город Москва, Кропоткинский переулок, дом 7, строение 2-4",Центральный,Хамовники,55.7377347,37.5931336,Кропоткинский пер,
3074,"город Москва, улица Тимура Фрунзе, дом 3, строение 2",Центральный,Хамовники,55.7326377,37.5906735,ул Тимура Фрунзе,
3075,"город Москва, Староконюшенный переулок, дом 18",,Арбат,,,Староконюшенный пер,Арбат
3076,"город Москва, улица Доватора, дом 5/9",,Хамовники,,,ул Доватора,Хамовники
3077,"город Москва, Хилков переулок, дом 3А",Центральный,Хамовники,55.7372525,37.5979934,Хилков пер,
3078,"город Москва, улица Плющиха, дом 39",Центральный,Хамовники,55.740223,37.5772055,ул Плющиха,
3079,"город Москва, Усачёва улица, дом 66",,Хамовники,,,ул Усачёва,Хамовники
3080,"город Москва, Малый Саввинский переулок, дом 8",,Хамовники,,,пер Саввинский М.,Хамовники
3081,"город Москва, Комсомольский проспект, дом 43, строение 1",Центральный,Хамовники,55.7193523,37.5749499,Комсомольский пр-кт,
